User ID,Order,Bin(0) Economic assistance to needy people around the world,Bin(1) Economic assistance to needy people in the U.S.,Bin(2) Anti-terrorism defenses in the U.S.,Bin(3) Health care,"Bin(4) Rebuilding highways, bridges and roads",Bin(5) Environmental protection,Bin(6) Medicare,Bin(7) Education,Bin(8) Government assistance for the unemployed,Bin(9) Scientific research,Bin(10) Military defense,Bin(11) Social Security,Bin(12) Veterans benefits and services,Survey(0) Economic assistance to needy people around the world,Survey(1) Economic assistance to needy people in the U.S.,Survey(2) Anti-terrorism defenses in the U.S.,Survey(3) Health care,"Survey(4) Rebuilding highways, bridges and roads",Survey(5) Environmental protection,Survey(6) Medicare,Survey(7) Education,Survey(8) Government assistance for the unemployed,Survey(9) Scientific research,Survey(10) Military defense,Survey(11) Social Security,Survey(12) Veterans benefits and services
0,1,3,0,21,1,0,10,7,9,0,7,1,1,0,1,10,7,14,3,1,15,5,9,1,8,22,4
1,1,1,0,0,6,0,0,0,0,0,0,0,0,0,1,10,7,14,3,1,9,5,9,1,8,22,10
2,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,10,5,14,3,5,15,5,9,5,2,22,4
3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,1,1,1,3,2,2,2,4,2,2,1,2,1,,,,,,,,,,,,,
8,0,0,0,3,2,3,1,0,0,3,0,0,2,8,8,7,3,10,7,5,15,1,9,1,8,22,4
9,0,0,1,0,2,1,1,0,2,0,1,1,0,0,1,14,7,20,4,6,12,8,5,2,2,15,4
10,0,0,0,0,4,0,0,15,5,0,0,0,0,0,5,10,5,15,5,8,13,8,2,5,4,15,5
11,0,0,0,0,1,0,1,1,1,1,1,1,1,1,5,5,2,12,8,8,12,12,5,11,2,15,3
12,0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,10,7,14,3,1,15,5,9,1,8,22,4
14,0,1,0,0,1,0,1,0,0,1,1,2,1,1,5,10,7,15,3,1,15,5,7,1,6,22,3
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9,10,3,9,9,11,7,7,9,15,3
18,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,0,0,0,0,2,0,2,4,0,8,5,2,1,,,,,,,,,,,,,
22,1,0,1,0,1,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,,
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,10,1,10,11,12,9,7,8,8,9
24,1,0,1,1,3,1,1,4,2,1,1,3,5,1,1,10,5,14,5,1,15,5,7,1,8,22,6
25,1,1,1,0,1,1,1,0,1,0,0,1,1,1,8,8,9,10,8,5,5,11,5,13,8,5,5
28,1,0,0,0,0,0,0,0,0,0,0,58,0,0,1,10,7,14,3,3,15,5,7,1,8,20,6
29,0,2,4,2,2,1,1,1,2,3,1,2,1,1,5,16,5,7,4,1,9,14,12,6,14,3,4
30,0,2,2,1,1,2,1,1,2,2,3,3,3,1,7,10,7,12,5,7,10,10,8,7,6,7,4
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,7,14,3,1,15,5,9,1,8,22,4
32,0,5,5,4,15,5,6,10,3,6,3,6,4,4,1,10,7,14,3,1,15,5,9,1,8,22,4
33,1,1,3,0,1,2,2,2,2,3,2,2,2,2,6,6,5,5,7,12,11,14,7,7,7,9,4
34,1,0,0,0,0,0,0,0,0,0,0,21,0,0,1,10,7,14,3,1,15,5,9,1,8,22,4
35,0,0,1,0,0,3,2,1,3,5,2,4,2,0,0,10,7,10,13,5,10,7,7,5,8,12,6
36,0,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
40,1,5,0,5,7,7,5,0,5,7,5,2,22,7,7,13,5,13,1,1,8,10,9,12,8,8,5
